INCIDENT,PENALTY,VICTIM,SCORE,LOCATION,COUNTRY,DATE,WHEN,MOON_NIGHT_BEFORE
none,None,None,Winning,No location,Uruguay,2000-06-28,90,No Moon
kick in the butt,None,forward,Losing,off field,Uruguay,2000-07-04,20,Full
scratch,Red Card,journalist,Losing,off field,Uruguay,2000-07-08,78,No Moon
headbutt,Yellow card,None,Losing,off field,Uruguay,2000-07-14,41,Full
kick in the butt,Yellow card,midfielder,Winning,his team penalty area,Uruguay,2000-07-28,41,Half
kick in the butt,Not Caught,spectator,Losing,off field,Uruguay,2000-08-18,7,Full
kick in the butt,None,spectator,Losing,off field,Uruguay,2000-08-28,78,Full
kick in the butt,Not Caught,referee,Winning,midfield,Uruguay,2000-09-01,77,Half
bite,None,midfielder,Winning,off field,Uruguay,2000-09-06,6,Half
spit in the face,yellow card,None,Losing,his team penalty area,Uruguay,2000-09-13,71,Full
bite,Suspended for several games,midfielder,Losing,off field,Uruguay,2000-09-17,0,Full
none,None,None,Winning,No location,Uruguay,2000-09-19,90,Full
bite,None,forward,Winning,his team penalty area,Uruguay,2000-09-21,37,Half
none,None,None,Winning,No location,Uruguay,2000-09-23,90,Full
none,None,None,Winning,No location,Uruguay,2000-09-26,90,Full
bite,Yellow card,spectator,Draw at a time,off field,Uruguay,2000-09-29,46,No Moon
none,None,None,Winning,No location,Uruguay,2000-09-30,90,Half
finger in the eye,Yellow card,midfielder,Losing,opponent team penalty area,Uruguay,2000-10-03,52,No Moon
scratch,Yellow card,midfielder,Winning,off field,Uruguay,2000-10-08,58,Full
kick in the butt,Yellow card,goalkeeper,Draw at a time,midfield,Uruguay,2000-10-09,2,Half
kick in the butt,Suspended for several games,referee,Losing,opponent team penalty area,Uruguay,2000-10-10,85,Full
bite,Suspended for several games,spectator,Draw at a time,off field,Uruguay,2000-10-11,86,Full
spit in the face,yellow card,defender,Draw at a time,opponent team penalty area,Uruguay,2000-10-24,31,Half
bite,Not Caught,spectator,Winning,off field,Uruguay,2000-10-25,89,Half
none,None,None,Winning,No location,Uruguay,2000-10-27,90,No Moon
none,None,None,Winning,No location,Uruguay,2000-11-01,90,No Moon
scratch,None,midfielder,Draw at a time,his team penalty area,Uruguay,2000-11-11,13,Full
headbutt,None,None,Winning,off field,Uruguay,2000-11-22,1,No Moon
none,None,None,Winning,No location,Uruguay,2000-11-30,90,Full
bite,None,None,Winning,midfield,Uruguay,2000-12-01,33,Half
none,None,None,Winning,No location,Uruguay,2000-12-02,90,No Moon
bite,Red Card,goalkeeper,Draw at a time,midfield,Uruguay,2000-12-03,86,Full
none,None,None,Winning,No location,Uruguay,2000-12-13,90,Half
bite,Not Caught,referee,Winning,off field,Uruguay,2000-12-18,81,Half
scratch,Red Card,goalkeeper,Losing,midfield,Uruguay,2000-12-20,69,Full
bite,None,defender,Losing,his team penalty area,Uruguay,2000-12-30,40,Half
finger in the eye,Not Caught,spectator,Draw at a time,off field,Uruguay,2001-01-06,83,No Moon
bite,Not Caught,spectator,Losing,off field,Uruguay,2001-01-10,82,Full
none,None,None,Winning,No location,Uruguay,2001-01-16,90,Half
bite,Not Caught,referee,Winning,midfield,Uruguay,2001-01-19,80,No Moon
kick in the butt,Suspended for several games,midfielder,Winning,midfield,Uruguay,2001-01-21,57,Half
kick in the butt,None,journalist,Losing,off field,Uruguay,2001-01-22,53,Half
spit in the face,yellow card,None,Winning,his team penalty area,Uruguay,2001-01-25,53,No Moon
spit in the face,yellow card,defender,Losing,off field,Uruguay,2001-01-28,78,No Moon
spit in the face,yellow card,spectator,Losing,off field,Uruguay,2001-01-31,11,Half
finger in the eye,Yellow card,defender,Losing,midfield,Uruguay,2001-02-03,63,Half
none,None,None,Winning,No location,Uruguay,2001-02-16,90,Half
finger in the eye,Suspended for several games,goalkeeper,Losing,opponent team penalty area,Uruguay,2001-02-21,49,Half
bite,None,goalkeeper,Winning,his team penalty area,Uruguay,2001-02-25,90,Full
bite,Not Caught,forward,Winning,his team penalty area,Uruguay,2001-03-01,82,Half
kick in the butt,Not Caught,defender,Winning,off field,Uruguay,2001-03-06,17,Half
spit in the face,yellow card,referee,Draw at a time,opponent team penalty area,Uruguay,2001-03-08,35,No Moon
none,None,None,Winning,No location,Uruguay,2001-03-11,90,Half
bite,None,journalist,Draw at a time,off field,Uruguay,2001-03-16,88,No Moon
scratch,Yellow card,goalkeeper,Winning,midfield,Uruguay,2001-03-19,52,Half
bite,Not Caught,forward,Losing,midfield,Uruguay,2001-03-22,89,No Moon
kick in the butt,Red Card,midfielder,Losing,opponent team penalty area,Uruguay,2001-04-01,45,Full
none,None,None,Winning,No location,Uruguay,2001-04-08,90,Full
headbutt,Not Caught,referee,Draw at a time,opponent team penalty area,Uruguay,2001-04-08,75,Half
none,None,None,Winning,No location,Uruguay,2001-04-14,90,Full
spit in the face,yellow card,referee,Winning,his team penalty area,Uruguay,2001-04-18,36,Full
kick in the butt,None,midfielder,Winning,his team penalty area,Uruguay,2001-04-20,70,Half
bite,None,spectator,Winning,off field,Uruguay,2001-04-20,3,Full
none,None,None,Winning,No location,Uruguay,2001-04-22,90,Half
bite,Yellow card,defender,Losing,off field,Uruguay,2001-05-09,11,Half
spit in the face,yellow card,defender,Winning,opponent team penalty area,Uruguay,2001-05-10,72,No Moon
kick in the butt,Yellow card,forward,Draw at a time,his team penalty area,Uruguay,2001-05-12,57,No Moon
none,None,None,Winning,No location,Uruguay,2001-05-12,90,Half
finger in the eye,Not Caught,journalist,Losing,off field,Uruguay,2001-05-17,50,No Moon
bite,Not Caught,referee,Losing,his team penalty area,Uruguay,2001-05-28,85,No Moon
none,None,None,Winning,No location,Uruguay,2001-06-04,90,Full
none,None,None,Winning,No location,Uruguay,2001-06-14,90,No Moon
none,None,None,Winning,No location,Uruguay,2001-06-19,90,Half
bite,Yellow card,forward,Losing,off field,Uruguay,2001-06-29,88,No Moon
scratch,Not Caught,midfielder,Losing,his team penalty area,Uruguay,2001-06-30,30,Half
bite,Yellow card,referee,Losing,off field,Uruguay,2001-07-10,16,Full
none,None,None,Winning,No location,Uruguay,2001-07-13,90,No Moon
headbutt,None,journalist,Winning,off field,Uruguay,2001-07-16,66,Half
bite,None,spectator,Losing,off field,Uruguay,2001-07-23,84,No Moon
none,None,None,Winning,No location,Uruguay,2001-07-28,90,No Moon
scratch,Not Caught,goalkeeper,Winning,off field,Uruguay,2001-07-31,24,No Moon
scratch,Not Caught,goalkeeper,Draw at a time,off field,Uruguay,2001-08-05,11,Full
bite,Suspended for several games,defender,Losing,his team penalty area,Uruguay,2001-08-05,88,Half
bite,Yellow card,None,Draw at a time,midfield,Uruguay,2001-08-06,85,Full
bite,Yellow card,goalkeeper,Winning,opponent team penalty area,Uruguay,2001-08-08,67,No Moon
finger in the eye,Yellow card,journalist,Losing,off field,Uruguay,2001-08-14,10,Half
kick in the butt,Suspended for several games,forward,Losing,off field,Uruguay,2001-08-16,39,Half
scratch,None,forward,Winning,off field,Uruguay,2001-08-17,35,Full
finger in the eye,Yellow card,journalist,Winning,off field,Uruguay,2001-08-20,54,Half
none,None,None,Winning,No location,Uruguay,2001-09-09,90,Full
bite,Suspended for several games,referee,Losing,midfield,Uruguay,2001-09-13,28,Half
finger in the eye,None,midfielder,Winning,midfield,Uruguay,2001-09-14,79,No Moon
bite,Not Caught,spectator,Losing,off field,Uruguay,2001-09-16,88,Full
bite,Suspended for several games,goalkeeper,Losing,midfield,Uruguay,2001-09-23,80,No Moon
none,None,None,Winning,No location,Uruguay,2001-09-27,90,Full
bite,Red Card,None,Losing,off field,Uruguay,2001-10-01,83,Full
none,None,None,Winning,No location,Uruguay,2001-10-03,90,Full
bite,Suspended for several games,journalist,Losing,off field,Uruguay,2001-10-06,90,No Moon
scratch,Red Card,referee,Losing,opponent team penalty area,Uruguay,2001-10-10,47,No Moon
spit in the face,yellow card,spectator,Draw at a time,off field,Uruguay,2001-10-13,54,Half
bite,Suspended for several games,forward,Winning,off field,Uruguay,2001-10-15,90,Full
spit in the face,yellow card,goalkeeper,Losing,opponent team penalty area,Uruguay,2001-10-19,55,Half
scratch,None,None,Winning,off field,Uruguay,2001-10-24,88,No Moon
bite,Red Card,journalist,Draw at a time,off field,Uruguay,2001-10-25,86,Full
spit in the face,yellow card,journalist,Losing,off field,Uruguay,2001-10-26,2,Half
spit in the face,yellow card,referee,Draw at a time,midfield,Uruguay,2001-10-28,73,Half
finger in the eye,Red Card,None,Draw at a time,midfield,Uruguay,2001-11-02,78,No Moon
spit in the face,yellow card,None,Draw at a time,his team penalty area,Uruguay,2001-11-03,2,Full
scratch,Yellow card,referee,Winning,his team penalty area,Uruguay,2001-11-11,46,Full
none,None,None,Winning,No location,Uruguay,2001-11-16,90,Full
none,None,None,Winning,No location,Uruguay,2001-11-16,90,No Moon
bite,Red Card,journalist,Losing,off field,Uruguay,2001-11-24,84,No Moon
scratch,Yellow card,referee,Draw at a time,opponent team penalty area,Uruguay,2001-12-09,24,Full
none,None,None,Winning,No location,Uruguay,2001-12-12,90,Full
scratch,None,None,Draw at a time,midfield,Uruguay,2001-12-19,43,Full
headbutt,Red Card,goalkeeper,Winning,his team penalty area,Uruguay,2001-12-22,23,Full
scratch,Yellow card,midfielder,Draw at a time,opponent team penalty area,Uruguay,2001-12-30,36,No Moon
none,None,None,Winning,No location,Uruguay,2002-01-03,90,Half
kick in the butt,Suspended for several games,spectator,Losing,off field,Uruguay,2002-01-10,65,Full
scratch,Red Card,goalkeeper,Losing,midfield,Uruguay,2002-01-11,25,No Moon
none,None,None,Winning,No location,Uruguay,2002-01-16,90,No Moon
kick in the butt,None,forward,Losing,his team penalty area,Uruguay,2002-01-20,9,No Moon
bite,Suspended for several games,spectator,Winning,off field,Uruguay,2002-01-23,88,Full
kick in the butt,Red Card,defender,Losing,midfield,Uruguay,2002-01-23,68,Half
none,None,None,Winning,No location,Uruguay,2002-02-01,90,Half
spit in the face,yellow card,defender,Losing,opponent team penalty area,Uruguay,2002-02-04,28,Half
scratch,Red Card,goalkeeper,Losing,his team penalty area,Uruguay,2002-02-06,31,Half
bite,None,midfielder,Winning,opponent team penalty area,Uruguay,2002-02-08,50,Full
none,None,None,Winning,No location,Uruguay,2002-02-13,90,Half
bite,Yellow card,journalist,Losing,off field,Uruguay,2002-02-14,83,No Moon
finger in the eye,Suspended for several games,spectator,Winning,off field,Uruguay,2002-02-19,29,Full
scratch,Suspended for several games,goalkeeper,Winning,opponent team penalty area,Uruguay,2002-02-20,21,Half
bite,Yellow card,journalist,Losing,off field,Uruguay,2002-02-24,36,Half
none,None,None,Winning,No location,Uruguay,2002-03-03,90,No Moon
spit in the face,yellow card,midfielder,Draw at a time,opponent team penalty area,Uruguay,2002-03-04,89,No Moon
bite,Suspended for several games,midfielder,Winning,opponent team penalty area,Uruguay,2002-03-09,84,No Moon
spit in the face,yellow card,goalkeeper,Winning,midfield,Uruguay,2002-03-14,11,Half
bite,Yellow card,spectator,Losing,off field,Uruguay,2002-03-15,89,No Moon
bite,None,referee,Losing,his team penalty area,Uruguay,2002-03-19,80,Half
bite,Yellow card,midfielder,Winning,his team penalty area,Uruguay,2002-03-22,63,No Moon
kick in the butt,Not Caught,midfielder,Draw at a time,his team penalty area,Uruguay,2002-03-22,2,Full
spit in the face,yellow card,journalist,Draw at a time,off field,Uruguay,2002-03-23,6,Full
spit in the face,yellow card,defender,Draw at a time,opponent team penalty area,Uruguay,2002-03-26,31,No Moon
finger in the eye,Yellow card,forward,Losing,midfield,Uruguay,2002-03-31,70,No Moon
none,None,None,Winning,No location,Uruguay,2002-04-05,90,Half
none,None,None,Winning,No location,Uruguay,2002-04-07,90,Half
none,None,None,Winning,No location,Uruguay,2002-04-10,90,Half
kick in the butt,Yellow card,journalist,Winning,off field,Uruguay,2002-04-13,6,No Moon
none,None,None,Winning,No location,Uruguay,2002-05-05,90,No Moon
none,None,None,Winning,No location,Uruguay,2002-05-06,90,Full
spit in the face,yellow card,journalist,Winning,off field,Uruguay,2002-05-15,24,No Moon
spit in the face,yellow card,referee,Winning,midfield,Uruguay,2002-05-16,71,No Moon
kick in the butt,Yellow card,forward,Winning,off field,Uruguay,2002-05-20,46,Half
none,None,None,Winning,No location,Uruguay,2002-05-22,90,Half
finger in the eye,None,forward,Winning,his team penalty area,Uruguay,2002-05-23,50,Full
headbutt,Not Caught,referee,Draw at a time,off field,Uruguay,2002-05-27,77,Half
none,None,None,Winning,No location,Uruguay,2002-05-29,90,Full
spit in the face,yellow card,goalkeeper,Draw at a time,off field,Uruguay,2002-06-04,56,No Moon
spit in the face,yellow card,journalist,Losing,off field,Uruguay,2002-06-10,33,Half
none,None,None,Winning,No location,Uruguay,2002-06-11,90,Half
kick in the butt,None,forward,Draw at a time,opponent team penalty area,Uruguay,2002-06-17,35,No Moon
finger in the eye,None,forward,Draw at a time,his team penalty area,Uruguay,2002-07-02,53,Full
spit in the face,yellow card,goalkeeper,Losing,midfield,Uruguay,2002-07-09,24,Half
headbutt,Yellow card,spectator,Draw at a time,off field,Uruguay,2002-07-19,53,Half
spit in the face,yellow card,defender,Draw at a time,off field,Uruguay,2002-07-22,62,Full
bite,Yellow card,journalist,Draw at a time,off field,Uruguay,2002-07-29,49,Full
scratch,Red Card,journalist,Winning,off field,Uruguay,2002-08-03,11,Half
none,None,None,Winning,No location,Uruguay,2002-08-11,90,Full
none,None,None,Winning,No location,Uruguay,2002-08-18,90,No Moon
headbutt,Yellow card,defender,Draw at a time,opponent team penalty area,Uruguay,2002-08-23,74,Half
bite,Suspended for several games,referee,Winning,opponent team penalty area,Uruguay,2002-09-01,86,No Moon
spit in the face,yellow card,spectator,Losing,off field,Uruguay,2002-09-05,38,Full
scratch,Red Card,goalkeeper,Losing,opponent team penalty area,Uruguay,2002-09-11,88,No Moon
bite,Red Card,goalkeeper,Draw at a time,opponent team penalty area,Uruguay,2002-09-17,82,No Moon
finger in the eye,Red Card,spectator,Winning,off field,Uruguay,2002-09-20,71,Full
finger in the eye,None,defender,Draw at a time,opponent team penalty area,Uruguay,2002-09-23,64,Half
none,None,None,Winning,No location,Uruguay,2002-09-24,90,Full
kick in the butt,Suspended for several games,journalist,Winning,off field,Uruguay,2002-09-30,46,No Moon
bite,Suspended for several games,midfielder,Draw at a time,his team penalty area,Uruguay,2002-10-05,22,Full
bite,None,spectator,Draw at a time,off field,Uruguay,2002-10-09,88,Half
bite,Not Caught,referee,Winning,off field,Uruguay,2002-10-15,69,Half
none,None,None,Winning,No location,Uruguay,2002-10-17,90,No Moon
finger in the eye,Suspended for several games,forward,Draw at a time,midfield,Uruguay,2002-10-20,63,No Moon
bite,Not Caught,journalist,Losing,off field,Uruguay,2002-10-22,6,Full
bite,Yellow card,goalkeeper,Losing,opponent team penalty area,Uruguay,2002-11-03,70,No Moon
bite,Not Caught,forward,Losing,opponent team penalty area,Uruguay,2002-11-05,37,No Moon
bite,Suspended for several games,spectator,Draw at a time,off field,Uruguay,2002-11-16,80,Half
scratch,Yellow card,forward,Losing,opponent team penalty area,Uruguay,2002-11-20,34,Half
kick in the butt,Suspended for several games,goalkeeper,Winning,his team penalty area,Uruguay,2002-11-26,44,No Moon
kick in the butt,Not Caught,midfielder,Losing,opponent team penalty area,Uruguay,2002-12-01,69,No Moon
spit in the face,yellow card,forward,Draw at a time,midfield,Uruguay,2002-12-14,47,Full
headbutt,None,forward,Winning,his team penalty area,Uruguay,2002-12-14,21,No Moon
bite,Red Card,referee,Winning,opponent team penalty area,Uruguay,2002-12-22,65,Full
finger in the eye,Red Card,spectator,Draw at a time,off field,Uruguay,2002-12-29,26,Half
spit in the face,yellow card,defender,Losing,opponent team penalty area,Uruguay,2002-12-29,76,Full
none,None,None,Winning,No location,Uruguay,2003-01-09,90,Full
none,None,None,Winning,No location,Uruguay,2003-01-09,90,Full
headbutt,Not Caught,midfielder,Draw at a time,his team penalty area,Uruguay,2003-01-09,33,No Moon
scratch,Yellow card,spectator,Losing,off field,Uruguay,2003-01-16,15,Half
spit in the face,yellow card,midfielder,Losing,his team penalty area,Uruguay,2003-01-22,32,Half
bite,Not Caught,defender,Draw at a time,his team penalty area,Uruguay,2003-02-03,8,Half
finger in the eye,Not Caught,journalist,Winning,off field,Uruguay,2003-02-05,39,No Moon
none,None,None,Winning,No location,Uruguay,2003-02-11,90,Full
finger in the eye,Red Card,midfielder,Draw at a time,opponent team penalty area,Uruguay,2003-02-15,90,Full
spit in the face,yellow card,forward,Losing,midfield,Uruguay,2003-02-18,73,Full
bite,Red Card,midfielder,Losing,off field,Uruguay,2003-03-03,2,Half
bite,Yellow card,defender,Draw at a time,off field,Uruguay,2003-03-23,87,Half
none,None,None,Winning,No location,Uruguay,2003-03-25,90,Half
none,None,None,Winning,No location,Uruguay,2003-03-26,90,Half
none,None,None,Winning,No location,Uruguay,2003-03-28,90,Half
bite,Not Caught,None,Losing,midfield,Uruguay,2003-03-29,83,Half
scratch,Not Caught,referee,Draw at a time,his team penalty area,Uruguay,2003-04-02,44,Half
kick in the butt,Suspended for several games,referee,Winning,his team penalty area,Uruguay,2003-04-07,85,No Moon
finger in the eye,Yellow card,None,Losing,off field,Uruguay,2003-04-07,82,No Moon
spit in the face,yellow card,journalist,Draw at a time,off field,Uruguay,2003-04-09,20,No Moon
bite,Red Card,None,Losing,off field,Uruguay,2003-04-20,46,Half
scratch,Not Caught,referee,Draw at a time,opponent team penalty area,Uruguay,2003-04-23,4,No Moon
kick in the butt,Not Caught,goalkeeper,Winning,opponent team penalty area,Uruguay,2003-04-29,22,Half
bite,Not Caught,None,Losing,off field,Uruguay,2003-05-11,86,Full
bite,None,forward,Winning,midfield,Uruguay,2003-05-11,82,Half
spit in the face,yellow card,referee,Draw at a time,midfield,Uruguay,2003-05-13,23,No Moon
bite,None,spectator,Winning,off field,Uruguay,2003-05-19,28,No Moon
kick in the butt,Red Card,goalkeeper,Draw at a time,his team penalty area,Uruguay,2003-05-21,43,Full
spit in the face,yellow card,spectator,Draw at a time,off field,Uruguay,2003-05-31,5,Half
none,None,None,Winning,No location,Uruguay,2003-06-06,90,No Moon
kick in the butt,Red Card,spectator,Winning,off field,Uruguay,2003-06-08,44,Full
headbutt,Suspended for several games,goalkeeper,Draw at a time,off field,Uruguay,2003-06-14,49,Half
kick in the butt,Not Caught,midfielder,Losing,midfield,Uruguay,2003-06-19,84,Full
bite,Suspended for several games,defender,Losing,his team penalty area,Uruguay,2003-06-22,25,Full
scratch,Red Card,goalkeeper,Draw at a time,off field,Uruguay,2003-06-24,24,Half
kick in the butt,Not Caught,forward,Losing,off field,Uruguay,2003-06-30,7,No Moon
kick in the butt,Suspended for several games,spectator,Losing,off field,Uruguay,2003-07-01,66,Half
finger in the eye,Suspended for several games,spectator,Losing,off field,Uruguay,2003-07-01,1,Half
none,None,None,Winning,No location,Uruguay,2003-07-01,90,Half
headbutt,Red Card,midfielder,Draw at a time,opponent team penalty area,Uruguay,2003-07-03,37,No Moon
spit in the face,yellow card,referee,Draw at a time,his team penalty area,Uruguay,2003-07-04,70,No Moon
none,None,None,Winning,No location,Uruguay,2003-07-04,90,No Moon
scratch,None,goalkeeper,Losing,opponent team penalty area,Uruguay,2003-07-12,10,Full
scratch,Red Card,referee,Draw at a time,midfield,Uruguay,2003-07-13,77,No Moon
bite,Suspended for several games,None,Losing,off field,Uruguay,2003-07-16,52,No Moon
bite,Suspended for several games,midfielder,Draw at a time,off field,Uruguay,2003-07-29,40,No Moon
spit in the face,yellow card,defender,Winning,opponent team penalty area,Uruguay,2003-08-07,29,Half
spit in the face,yellow card,spectator,Winning,off field,Uruguay,2003-08-10,54,Half
finger in the eye,Not Caught,journalist,Winning,off field,Uruguay,2003-08-12,51,Half
headbutt,Not Caught,spectator,Losing,off field,Uruguay,2003-08-15,78,Full
headbutt,Suspended for several games,goalkeeper,Winning,midfield,Uruguay,2003-08-15,42,Half
scratch,Red Card,goalkeeper,Winning,midfield,Uruguay,2003-08-15,86,Full
scratch,None,referee,Winning,opponent team penalty area,Uruguay,2003-08-16,65,Half
none,None,None,Winning,No location,Uruguay,2003-08-20,90,Half
finger in the eye,Yellow card,referee,Losing,off field,Uruguay,2003-09-28,26,Full
finger in the eye,Not Caught,midfielder,Losing,midfield,Uruguay,2003-09-30,50,No Moon
none,None,None,Winning,No location,Uruguay,2003-10-02,90,Full
finger in the eye,Red Card,midfielder,Losing,midfield,Uruguay,2003-10-04,82,No Moon
none,None,None,Winning,No location,Uruguay,2003-10-07,90,Half
none,None,None,Winning,No location,Uruguay,2003-10-16,90,No Moon
bite,Yellow card,spectator,Draw at a time,off field,Uruguay,2003-10-21,82,Full
kick in the butt,None,journalist,Winning,off field,Uruguay,2003-11-01,28,No Moon
finger in the eye,Suspended for several games,goalkeeper,Losing,opponent team penalty area,Uruguay,2003-11-10,62,Half
kick in the butt,Red Card,referee,Winning,opponent team penalty area,Uruguay,2003-11-10,74,Half
bite,Not Caught,defender,Winning,his team penalty area,Uruguay,2003-11-13,38,Half
headbutt,Yellow card,referee,Losing,opponent team penalty area,Uruguay,2003-12-07,63,Half
bite,Not Caught,goalkeeper,Draw at a time,his team penalty area,Uruguay,2003-12-17,88,Full
headbutt,Yellow card,goalkeeper,Losing,his team penalty area,Uruguay,2003-12-20,55,Half
none,None,None,Winning,No location,Uruguay,2004-01-01,90,Full
finger in the eye,None,spectator,Winning,off field,Uruguay,2004-01-02,79,Half
kick in the butt,Red Card,spectator,Draw at a time,off field,Uruguay,2004-01-07,21,Half
kick in the butt,Red Card,goalkeeper,Losing,off field,Uruguay,2004-01-11,61,No Moon
kick in the butt,Not Caught,goalkeeper,Draw at a time,his team penalty area,Uruguay,2004-01-12,5,Half
finger in the eye,Suspended for several games,referee,Losing,off field,Uruguay,2004-01-12,17,Half
bite,None,referee,Losing,midfield,Uruguay,2004-01-22,82,Half
scratch,Yellow card,referee,Losing,midfield,Uruguay,2004-02-04,58,Full
none,None,None,Winning,No location,Uruguay,2004-02-12,90,Half
headbutt,None,referee,Winning,off field,Uruguay,2004-02-14,61,No Moon
spit in the face,yellow card,spectator,Draw at a time,off field,Uruguay,2004-02-21,55,Half
none,None,None,Winning,No location,Uruguay,2004-02-22,90,No Moon
kick in the butt,Suspended for several games,None,Winning,his team penalty area,Uruguay,2004-02-23,55,No Moon
scratch,Suspended for several games,spectator,Losing,off field,Uruguay,2004-03-04,32,Half
spit in the face,yellow card,spectator,Draw at a time,off field,Uruguay,2004-03-04,21,Half
none,None,None,Winning,No location,Uruguay,2004-03-13,90,Full
bite,Red Card,goalkeeper,Draw at a time,midfield,Uruguay,2004-03-14,83,Full
scratch,Suspended for several games,forward,Losing,midfield,Uruguay,2004-03-16,1,Half
bite,None,None,Losing,midfield,Uruguay,2004-03-17,90,Half
kick in the butt,Red Card,goalkeeper,Draw at a time,off field,Uruguay,2004-03-19,51,Half
scratch,Yellow card,goalkeeper,Losing,midfield,Uruguay,2004-03-20,2,Half
bite,Not Caught,journalist,Draw at a time,off field,Uruguay,2004-03-21,85,No Moon
finger in the eye,Suspended for several games,forward,Draw at a time,midfield,Uruguay,2004-03-22,1,Half
bite,None,goalkeeper,Draw at a time,his team penalty area,Uruguay,2004-03-23,89,No Moon
none,None,None,Winning,No location,Uruguay,2004-03-30,90,No Moon
headbutt,Suspended for several games,midfielder,Losing,his team penalty area,Uruguay,2004-04-04,80,Half
finger in the eye,None,None,Losing,midfield,Uruguay,2004-04-06,84,No Moon
kick in the butt,Yellow card,forward,Losing,off field,Uruguay,2004-04-12,9,Full
bite,None,goalkeeper,Winning,his team penalty area,Uruguay,2004-04-15,22,Full
none,None,None,Winning,No location,Uruguay,2004-04-18,90,No Moon
bite,Not Caught,journalist,Winning,off field,Uruguay,2004-05-02,31,Half
bite,Suspended for several games,goalkeeper,Losing,off field,Uruguay,2004-05-02,87,Full
scratch,Suspended for several games,forward,Winning,opponent team penalty area,Uruguay,2004-05-08,33,No Moon
headbutt,Red Card,journalist,Draw at a time,off field,Uruguay,2004-05-20,80,Half
none,None,None,Winning,No location,Uruguay,2004-05-21,90,No Moon
headbutt,Red Card,spectator,Winning,off field,Uruguay,2004-05-31,41,Half
headbutt,Red Card,goalkeeper,Losing,his team penalty area,Uruguay,2004-05-31,15,Half
finger in the eye,Not Caught,goalkeeper,Losing,his team penalty area,Uruguay,2004-06-01,55,No Moon
kick in the butt,None,midfielder,Draw at a time,off field,Uruguay,2004-06-03,71,Half
headbutt,Yellow card,forward,Winning,his team penalty area,Uruguay,2004-06-03,23,No Moon
finger in the eye,Yellow card,midfielder,Draw at a time,midfield,Uruguay,2004-06-06,88,Full
bite,Yellow card,midfielder,Winning,opponent team penalty area,Uruguay,2004-06-08,86,No Moon
kick in the butt,Yellow card,journalist,Winning,off field,Uruguay,2004-06-09,43,Half
bite,Yellow card,None,Losing,midfield,Uruguay,2004-06-11,83,Half
none,None,None,Winning,No location,Uruguay,2004-06-16,90,Half
headbutt,Red Card,defender,Losing,opponent team penalty area,Uruguay,2004-06-27,67,No Moon
scratch,None,journalist,Losing,off field,Uruguay,2004-06-28,25,Half
finger in the eye,Not Caught,midfielder,Losing,midfield,Uruguay,2004-06-29,17,Half
spit in the face,yellow card,midfielder,Losing,opponent team penalty area,Uruguay,2004-07-01,34,No Moon
spit in the face,yellow card,goalkeeper,Winning,opponent team penalty area,Uruguay,2004-07-05,88,Half
bite,None,journalist,Winning,off field,Uruguay,2004-07-11,85,Half
bite,Suspended for several games,referee,Draw at a time,off field,Uruguay,2004-07-12,8,No Moon
finger in the eye,None,goalkeeper,Losing,midfield,Uruguay,2004-07-13,87,Half
none,None,None,Winning,No location,Uruguay,2004-07-14,90,Half
spit in the face,yellow card,goalkeeper,Losing,his team penalty area,Uruguay,2004-07-15,12,Half
scratch,Red Card,spectator,Losing,off field,Uruguay,2004-07-16,51,Half
headbutt,Not Caught,journalist,Winning,off field,Uruguay,2004-07-17,37,Half
spit in the face,yellow card,forward,Losing,his team penalty area,Uruguay,2004-07-23,18,No Moon
bite,Red Card,goalkeeper,Losing,opponent team penalty area,Uruguay,2004-07-26,87,Half
scratch,Suspended for several games,forward,Losing,his team penalty area,Uruguay,2004-07-28,47,Full
headbutt,Not Caught,journalist,Draw at a time,off field,Uruguay,2004-07-31,64,Half
bite,Red Card,defender,Draw at a time,his team penalty area,Uruguay,2004-08-05,9,Half
headbutt,Red Card,forward,Draw at a time,off field,Uruguay,2004-08-08,23,No Moon
spit in the face,yellow card,spectator,Losing,off field,Uruguay,2004-08-08,6,No Moon
bite,Yellow card,defender,Draw at a time,opponent team penalty area,Uruguay,2004-08-10,34,Half
bite,Not Caught,journalist,Draw at a time,off field,Uruguay,2004-08-20,83,Half
headbutt,Red Card,defender,Losing,off field,Uruguay,2004-08-24,21,No Moon
headbutt,Not Caught,midfielder,Draw at a time,opponent team penalty area,Uruguay,2004-08-24,68,Half
headbutt,Not Caught,forward,Losing,his team penalty area,Uruguay,2004-09-07,43,No Moon
bite,Suspended for several games,spectator,Draw at a time,off field,Uruguay,2004-09-08,5,No Moon
bite,None,None,Losing,off field,Uruguay,2004-09-13,80,No Moon
bite,Not Caught,referee,Losing,off field,Uruguay,2004-09-14,73,Half
none,None,None,Winning,No location,Uruguay,2004-09-19,90,No Moon
kick in the butt,Yellow card,forward,Losing,opponent team penalty area,Uruguay,2004-09-30,54,Full
headbutt,Suspended for several games,journalist,Losing,off field,Uruguay,2004-10-01,8,Half
bite,Red Card,defender,Winning,off field,Uruguay,2004-10-06,22,No Moon
kick in the butt,Red Card,spectator,Winning,off field,Uruguay,2004-10-07,29,Full
bite,Not Caught,defender,Losing,off field,Uruguay,2004-10-16,85,No Moon
bite,Yellow card,None,Winning,his team penalty area,Uruguay,2004-10-17,53,Half
